route_id,stop_id,stop_sequence,scheduled_arrival_time,route_name,terminal,direction
R_301_UP,STOP_001,1,06:00:00,Andheri-Borivali Express,Borivali Bus Depot,UP
R_301_UP,STOP_002,2,06:08:00,Andheri-Borivali Express,Borivali Bus Depot,UP
R_301_UP,STOP_003,3,06:15:00,Andheri-Borivali Express,Borivali Bus Depot,UP
R_301_UP,STOP_004,4,06:22:00,Andheri-Borivali Express,Borivali Bus Depot,UP
R_301_UP,STOP_005,5,06:30:00,Andheri-Borivali Express,Borivali Bus Depot,UP
R_301_DN,STOP_005,1,06:05:00,Andheri-Borivali Express,Andheri Station,DN
R_301_DN,STOP_004,2,06:13:00,Andheri-Borivali Express,Andheri Station,DN
R_301_DN,STOP_003,3,06:20:00,Andheri-Borivali Express,Andheri Station,DN
R_301_DN,STOP_002,4,06:28:00,Andheri-Borivali Express,Andheri Station,DN
R_301_DN,STOP_001,5,06:35:00,Andheri-Borivali Express,Andheri Station,DN
R_102_UP,STOP_010,1,05:30:00,Dadar-Bandra Circular,Bandra Terminus,UP
R_102_UP,STOP_011,2,05:38:00,Dadar-Bandra Circular,Bandra Terminus,UP
R_102_UP,STOP_012,3,05:45:00,Dadar-Bandra Circular,Bandra Terminus,UP
R_102_UP,STOP_013,4,05:52:00,Dadar-Bandra Circular,Bandra Terminus,UP
R_102_UP,STOP_014,5,06:00:00,Dadar-Bandra Circular,Bandra Terminus,UP
R_102_DN,STOP_014,1,05:35:00,Dadar-Bandra Circular,Dadar TT Circle,DN
R_102_DN,STOP_013,2,05:43:00,Dadar-Bandra Circular,Dadar TT Circle,DN
R_102_DN,STOP_012,3,05:50:00,Dadar-Bandra Circular,Dadar TT Circle,DN
R_102_DN,STOP_011,4,05:58:00,Dadar-Bandra Circular,Dadar TT Circle,DN
R_102_DN,STOP_010,5,06:05:00,Dadar-Bandra Circular,Dadar TT Circle,DN
R_205_UP,STOP_020,1,06:15:00,Kurla-Chembur Link,Chembur Naka,UP
R_205_UP,STOP_021,2,06:22:00,Kurla-Chembur Link,Chembur Naka,UP
R_205_UP,STOP_022,3,06:30:00,Kurla-Chembur Link,Chembur Naka,UP
R_205_UP,STOP_023,4,06:37:00,Kurla-Chembur Link,Chembur Naka,UP
R_205_UP,STOP_024,5,06:45:00,Kurla-Chembur Link,Chembur Naka,UP
R_205_DN,STOP_024,1,06:20:00,Kurla-Chembur Link,Kurla Station West,DN
R_205_DN,STOP_023,2,06:27:00,Kurla-Chembur Link,Kurla Station West,DN
